iter	Logloss
299	0.4137339977
300	0.4134954564
301	0.4130642257
302	0.4130518534
303	0.4129304563
304	0.4128869931
305	0.4127657466
306	0.4127330439
307	0.4125817277
308	0.4125736493
309	0.4125408427
310	0.4124878997
311	0.4124790144
312	0.4124264484
313	0.4121053498
314	0.4120082286
315	0.4120038921
316	0.4119975962
317	0.4117604714
318	0.4114936394
319	0.4112504803
320	0.4112463282
321	0.4112372185
322	0.4108987481
323	0.4105231857
324	0.4104013213
325	0.4099237938
326	0.4098702951
327	0.4098619093
328	0.4095010588
329	0.409430533
330	0.4091896989
331	0.4091832772
332	0.4091749433
333	0.4088574531
334	0.4088482534
335	0.4086764286
336	0.4083818442
337	0.4078300683
338	0.4074499238
339	0.4069508743
340	0.4069426852
341	0.4067876373
342	0.4067699151
343	0.4067114689
344	0.4064086482
345	0.4061042519
346	0.4058996254
347	0.4058982023
348	0.4058639569
349	0.4054397246
350	0.4054389405
351	0.405280258
352	0.4052132839
353	0.4052116583
354	0.4051692399
355	0.4051692168
356	0.4051691355
357	0.4050446843
358	0.4050264623
359	0.4048628627
360	0.4046482362
361	0.4043786062
362	0.4042209144
363	0.4041905609
364	0.4039197449
365	0.4038680952
366	0.4038176174
367	0.4036952974
368	0.4036570365
369	0.4030381167
370	0.4026623027
371	0.4024354272
372	0.4023958079
373	0.4023892878
374	0.4023690907
375	0.4023661067
376	0.4023621579
377	0.4021448938
378	0.4021128938
379	0.4019196088
380	0.4016922835
381	0.4015448575
382	0.401410055
383	0.4011839601
384	0.4009636335
385	0.4009281807
386	0.4008896604
387	0.4006309144
388	0.4005525855
389	0.4002761614
390	0.4002700076
391	0.4002113666
392	0.3995495857
393	0.3994771359
394	0.3994523
395	0.3994067654
396	0.3993998106
397	0.3993786137
398	0.3990167522
399	0.3989460362
