iter	Logloss
0	0.6435449181
1	0.606088409
2	0.577476889
3	0.5549363818
4	0.538351977
5	0.5303953299
6	0.5166095059
7	0.5080328794
8	0.5029641509
9	0.5003333582
10	0.493354717
11	0.4903494573
12	0.4874843444
13	0.4862194297
14	0.4822994421
15	0.4798279773
16	0.477222358
17	0.4757931771
18	0.474477357
19	0.4723496748
20	0.4704317903
21	0.4696033236
22	0.4690958661
23	0.4684457849
24	0.4678802483
25	0.4674370582
26	0.4669372677
27	0.4668297582
28	0.4662491454
29	0.466095909
30	0.4657849715
31	0.4655441343
32	0.4647067268
33	0.4642412895
34	0.4639835084
35	0.4635888561
36	0.4632314119
37	0.4626060995
38	0.4623262197
39	0.4623158175
40	0.4622223524
41	0.4616409297
42	0.4611877508
43	0.461120463
44	0.4606599712
45	0.4605334948
46	0.4603840744
47	0.4602679803
48	0.4599947252
49	0.4599211302
50	0.459865545
51	0.4597915464
52	0.4597077956
53	0.4596764421
54	0.459230054
55	0.4586803084
56	0.4583914505
57	0.4579047161
58	0.4576328813
59	0.4572848269
60	0.4569633087
61	0.4562818323
62	0.4562519054
63	0.4559817356
64	0.4552121646
65	0.4551163944
66	0.4549875682
67	0.4548608933
68	0.4544398847
69	0.4544398847
70	0.4544388298
71	0.453736307
72	0.4525531961
73	0.4520525335
74	0.4516625895
75	0.4513449488
76	0.4506707504
77	0.4497725272
78	0.4494594431
79	0.4494415892
80	0.4488732115
81	0.4488728857
82	0.4475960133
83	0.4471417127
84	0.4467414199
85	0.4467144602
86	0.4466805748
87	0.4460005638
88	0.4459978366
89	0.4459936685
90	0.4451526838
91	0.4451475662
92	0.4451357912
93	0.444269195
94	0.4442667472
95	0.4437381473
96	0.4432903323
97	0.4427819952
98	0.4427697259
99	0.4427592205
100	0.4427558584
101	0.4427470087
102	0.44232181
103	0.4423195085
104	0.4423107705
105	0.4421852911
106	0.4419408858
107	0.4411699518
108	0.4411623527
109	0.4411256678
110	0.4411180071
111	0.4409935486
112	0.4409665851
113	0.4409578791
114	0.4409515657
115	0.4409432643
116	0.4407830555
117	0.4407766455
118	0.4407708293
119	0.4399118449
120	0.4392894977
121	0.4392882395
122	0.4392013605
123	0.4391869694
124	0.4391086039
125	0.4390987948
126	0.4390970546
127	0.439091186
128	0.4390842017
129	0.4390793473
130	0.4388120619
131	0.4382575849
132	0.4382053338
133	0.4378594085
134	0.4375653757
135	0.4375604119
136	0.4373538266
137	0.4366034623
138	0.436593604
139	0.4365084294
140	0.436502741
141	0.4364910915
142	0.436210478
143	0.436207781
144	0.4362000507
145	0.4361511263
146	0.4361410481
147	0.4361351715
148	0.4355454372
149	0.4355273078
150	0.4355264391
151	0.4350294692
152	0.4345528087
153	0.434412529
154	0.4343724938
155	0.4343004587
156	0.4342639622
157	0.43425529
158	0.4342491528
159	0.4342460413
160	0.433790002
161	0.4335547484
162	0.4335493085
163	0.4335477657
164	0.4335455032
165	0.4330211376
166	0.4330174757
167	0.4325203658
168	0.4325186418
169	0.4325173738
170	0.4325124345
171	0.4324765279
172	0.4324437807
173	0.4324403805
174	0.4324351718
175	0.4324324267
176	0.4322632146
177	0.4322603643
178	0.4320449464
179	0.4320421583
180	0.4316528702
181	0.4311352955
182	0.4311324844
183	0.4311284422
184	0.4311246767
185	0.4305250619
186	0.4305208137
187	0.4303284437
188	0.4303202341
189	0.4303188903
190	0.4301692342
191	0.4301684305
192	0.430165983
193	0.4299330175
194	0.4292797766
195	0.4292772065
196	0.4292762523
197	0.4284319816
198	0.4284253071
199	0.4284244105
200	0.4282484825
201	0.427690831
202	0.427335404
203	0.4273344124
204	0.4268573186
205	0.426848604
206	0.4268216618
207	0.4268031603
208	0.426578485
209	0.4265009124
210	0.4264977303
211	0.4262625528
212	0.4262568989
213	0.4261395947
214	0.4260311922
215	0.4259113645
216	0.425823673
217	0.4258101232
218	0.4257930143
219	0.425758071
220	0.4256824877
221	0.4256215686
222	0.4253120705
223	0.4252579063
224	0.4250364466
225	0.4250069407
226	0.4247869204
227	0.4246654546
228	0.4244725205
229	0.4237217933
230	0.4236686185
231	0.4236622283
232	0.4236622283
233	0.4236537637
234	0.4236454407
235	0.4233796589
236	0.423338274
237	0.4232084633
238	0.4230539284
239	0.4229976893
240	0.4229950434
241	0.422980332
242	0.4229636707
243	0.4227700694
244	0.4225565955
245	0.4224625717
246	0.4218308599
247	0.4217255579
248	0.4215403696
249	0.4215370222
250	0.421422137
251	0.4213826581
252	0.4209074549
253	0.4209043868
254	0.4208790687
255	0.4207838762
256	0.4205189038
257	0.420120931
258	0.4194928721
259	0.4194331377
260	0.4189333962
261	0.4181871831
262	0.4181871831
263	0.4181612461
264	0.4181398638
265	0.4178798545
266	0.4178798545
267	0.4174813363
268	0.417253532
269	0.4171777214
270	0.4171751332
271	0.4170426491
272	0.4170049365
273	0.4167073381
274	0.4166436248
275	0.4165572965
276	0.4164108405
277	0.4163387304
278	0.4157987965
279	0.4157504981
280	0.4155605974
281	0.4154550151
282	0.4154451336
283	0.4153378024
284	0.4153272783
285	0.4153083649
286	0.4152905879
287	0.415195891
288	0.4151902712
289	0.4149178234
290	0.4148771423
291	0.4146700525
292	0.4144687709
293	0.4144589871
294	0.4141290862
295	0.4140933137
296	0.4137899226
297	0.413745672
298	0.4137434731
