experiment_id,timestamp,model,features,feature_count,imbalance_handling,hyperparameters,roc_auc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,notes
exp_001,2026-04-05 20:56:36.571349,Logistic (baseline),base(encoded features),19,,default,0.8360714082341553,0.8515769944341373,0.888673765730881,0.8697299857887257,0.6504559270516718,0.5721925133689839,0.6088193456614509,Clean baseline with just encoding features
exp_002,2026-04-06 20:38:36.518022,Logistic (baseline),base+ numberOfServices scaled,20,,default,0.83600669872807,0.8522304832713755,0.8877057115198451,0.869606448553817,0.649546827794562,0.5748663101604278,0.6099290780141844,baseline model with scaled num of services as engineered feature
exp_003,2026-04-11 12:59:15.247340,logistic,base + 12 engineered,31,,,0.8333044297539485,0.8388278388278388,0.8867376573088093,0.8621176470588235,0.6285714285714286,0.5294117647058824,0.5747460087082729,trained on (base_plus_engineered.csv)
exp_004,2026-04-11 13:16:56.911720,Logistic (baseline),base + segment labels,20,,default,0.8339567015752882,0.8481481481481481,0.8867376573088093,0.8670137245622338,0.6422018348623854,0.5614973262032086,0.5991440798858774,trained on (df_with_segment_label.csv)
exp_005,2026-04-11 14:01:11.093331,catboost,base + segment labels,20,pos = 2.7,default,0.8320658898074763,0.9025270758122744,0.7260406582768635,0.8047210300429185,0.5086805555555556,0.7834224598930482,0.6168421052631579,trained on (df_with_segement_labels.csv) with scale weight 2.7
exp_006,2026-04-11 14:03:04.172549,XGBoost,base + segment labels,20,pos = 2.7,default,0.8153125986819968,0.8713826366559485,0.78702807357212,0.82706002034588,0.5358649789029536,0.679144385026738,0.5990566037735849,trained on (df_with_segement_labels.csv) with scale weight 2.7
exp_007,2026-04-11 14:03:47.984960,lightGBM,base + segment labels,20,pos = 2.7,default,0.8230855045529608,0.8884976525821596,0.7328170377541142,0.803183023872679,0.5027027027027027,0.7459893048128342,0.6006458557588805,trained on (df_with_segement_labels.csv) with scale weight 2.7
